Jonctiune,Cluster 1,Cluster 2,Distanta,Frecventa
0,9.0,11.0,6.309516621738938,2.0
1,4.0,22.0,6.717142249498665,2.0
2,10.0,35.0,6.980687645210896,2.0
3,25.0,31.0,7.725930364687472,2.0
4,0.0,23.0,8.078985084773953,2.0
5,34.0,38.0,10.093066927351668,3.0
6,21.0,39.0,10.165300454651272,3.0
7,18.0,42.0,12.019844702269106,3.0
8,36.0,37.0,12.161414391426685,2.0
9,7.0,41.0,12.33869252932957,3.0
10,26.0,40.0,12.655565310697638,3.0
11,1.0,13.0,13.126309458488326,2.0
12,3.0,19.0,13.568345514468593,2.0
13,30.0,43.0,13.591909358143914,4.0
14,28.0,32.0,13.85893213779474,2.0
15,5.0,14.0,15.670354175959137,2.0
16,8.0,51.0,16.509512409517125,5.0
17,29.0,49.0,18.653149868051766,3.0
18,20.0,50.0,20.13934788748963,3.0
19,44.0,52.0,21.44995726491469,5.0
20,16.0,45.0,22.409335852124958,4.0
21,33.0,56.0,23.083363417549585,4.0
22,46.0,54.0,24.9596588804529,7.0
23,47.0,57.0,26.249384119759213,8.0
24,2.0,53.0,26.80746164783231,3.0
25,6.0,17.0,32.496307482543294,2.0
26,27.0,48.0,36.62713019971217,4.0
27,24.0,58.0,37.10195412643383,5.0
28,61.0,64.0,50.77145687621474,12.0
29,12.0,62.0,51.06897296793817,4.0
30,65.0,67.0,64.48962018116646,9.0
31,55.0,59.0,64.94425631702488,7.0
32,60.0,66.0,117.7611272671848,19.0
33,68.0,69.0,197.00684305454334,16.0
34,15.0,63.0,295.4543450348971,3.0
35,70.0,71.0,468.40047772788853,35.0
36,72.0,73.0,729.4834492033758,38.0
