Judet,NR_FIRME,NSAL,CFA,PROFITN,PIERDEREN
ab,19.376,150.427,21641529.3,773726.106,1718918.399
ag,19.959,184.507,39377116.712,1585820.765,635601.084
ar,22.614,175.523,28878126.112,1414418.114,2153591.112
b,53.064,558.672,156895536.309,10912865.747,8045298.47
bc,14.292,95.192,16720590.013,1134988.2,495850.416
bh,27.791,183.002,29892845.161,1051396.939,1248310.537
bn,16.583,123.139,20077581.593,819542.86,262443.883
br,15.366,127.457,16066125.916,812197.152,720179.44
bt,8.74,76.943,9624236.902,395237.124,215252.95
bv,29.603,227.547,43928473.321,2067257.997,1640645.512
bz,17.306,112.622,23652972.21,1088135.189,665346.567
cj,35.714,214.972,42796406.778,2337076.964,1391685.61
cl,14.204,82.341,14981269.028,625989.543,341140.913
cs,14.49,98.292,12157753.68,737921.681,712544.982
ct,26.085,181.243,46473436.843,2216436.047,2474136.542
cv,18.025,146.549,20162809.335,4199119.628,516675.983
db,12.935,89.2,16637251.572,1020842.183,336811.262
dj,16.78,128.979,18652601.496,1187729.391,1064184.37
gj,14.955,94.226,10244296.707,497982.791,246797.434
gl,15.037,148.619,33419668.86,2066787.201,546571.232
gr,13.657,80.154,22916154.104,882149.897,944344.939
hd,18.26,286.624,22251251.614,771931.978,1291838.722
hr,21.633,169.451,22361471.813,883073.418,590851.718
if,32.991,298.481,147118300.599,6678700.603,5336048.296
il,11.223,84.908,16616043.655,837915.816,455267.752
is,15.818,108.873,15706031.574,864115.233,654398.329
mh,12.724,95.602,13314229.689,460432.723,725537.383
mm,20.563,135.651,17604447.291,812605.321,1031405.299
ms,20.713,262.338,28233104.522,1360128.577,760222.905
nt,16.702,101.784,14530687.945,550469.32,637004.56
ot,14.198,104.576,19702429.533,1055836.934,374897.745
ph,19.475,179.453,36795891.152,2082169.213,1504996.837
sb,21.62,226.353,43617959.893,3066350.515,1774939.67
sj,15.979,99.01,16780624.924,1054996.415,245821.6
sm,16.944,146.941,21779719.583,1075321.876,549773.914
sv,14.275,87.128,12488309.419,471427.06,370420.017
tl,17.643,122.445,15490276.712,770743.948,825649.797
tm,28.557,229.144,38657192.083,2587991.655,1849142.674
tr,12.282,70.611,10532505.551,437669.32,251895.897
vl,17.332,140.495,24280383.329,779931.462,1164150.685
vn,14.485,96.017,11878160.744,620178.513,245468.119
vs,9.187,76.573,8473706.481,366368.843,150041.987
