Judet,Cluster,Silhouette
ab,1,0.8207294451968162
ag,1,0.8648437996247661
ar,1,0.8564927392765023
b,1,0.7560917535505088
bc,1,0.8640118680005333
bh,1,0.840488369324426
bn,1,0.8488721649653617
br,1,0.7900257238009483
bt,1,0.3315868295075893
bv,1,0.8597652054078869
bz,2,-5.944954685805594e-05
cj,1,0.8572955037224852
cl,3,0.0
cs,1,0.7605113627843075
ct,1,0.5171787665639614
cv,1,0.8389132257939007
db,1,0.8086854113933888
dj,1,0.8449407581751472
gj,1,0.8531104791846962
gl,1,0.7556375591018024
gr,1,0.7897741102685775
hd,1,0.8154753123617967
hr,1,0.8521315843551877
if,1,0.790143521109462
il,1,0.8626082087581971
is,1,0.8520838947471688
mh,1,0.6669150116986184
mm,1,0.8106718412031696
ms,1,0.4713664950358539
nt,1,0.8444477647689884
ot,1,0.8633697690437903
ph,1,0.8465755661968628
sb,1,0.8218362012955605
sj,1,0.7372428786861543
sm,1,0.8203798969741034
sv,1,0.8450685692930804
tl,1,0.8316736710797621
tm,1,0.862588270111963
tr,1,0.7886236866785824
vl,1,0.8581972873488002
vn,1,0.8517058401710526
vs,2,0.3683849494604869
