SIRUTA,F1,F2,F3,F4,F5
1017,0.91,4.5,-0.97,-1.9,-2.81
1071,0.03,-0.31,-0.4,-0.48,-0.21
1151,-0.06,1.15,-1.01,-0.21,-0.7
1213,-0.06,0.53,0.1,-1.0,-0.34
1348,0.28,0.8,-0.7,-2.94,-1.16
1455,-0.02,0.42,-0.1,-0.94,0.44
1696,0.27,0.93,0.96,-0.13,3.26
1794,-0.04,0.07,0.06,0.2,-0.02
1874,0.11,1.37,0.23,-2.56,-1.8
1936,0.02,0.12,-0.29,-0.84,0.22
2130,-0.06,-0.17,-0.02,0.01,-0.01
2309,-0.04,-0.06,-0.08,-0.07,0.14
2381,-0.07,-0.1,-0.01,0.11,0.04
2577,-0.06,-0.12,-0.02,-0.06,-0.07
2915,0.11,0.61,0.04,-0.22,1.57
2988,-0.04,-0.09,-0.1,-0.12,0.1
3039,0.01,0.95,0.28,-0.58,1.48
3397,-0.06,-0.16,-0.04,-0.01,0.03
3459,-0.06,-0.14,-0.05,-0.04,0.03
3761,-0.06,-0.16,-0.04,-0.01,0.03
3805,-0.02,0.1,-0.31,-0.13,0.53
3841,-0.05,-0.16,-0.02,-0.04,0.03
3958,-0.06,-0.17,-0.0,-0.07,0.01
4008,-0.05,-0.15,-0.04,-0.01,0.04
4106,-0.06,-0.21,0.04,-0.05,-0.29
4142,-0.05,-0.11,-0.11,0.03,-0.01
4188,-0.05,-0.15,-0.04,-0.0,0.01
4240,-0.05,-0.07,-0.03,0.08,-0.02
4268,-0.06,-0.17,-0.04,0.01,0.01
4302,-0.06,-0.16,-0.07,-0.08,0.04
4366,-0.25,-0.63,0.15,-0.03,-1.2
4482,-0.07,-0.18,-0.0,-0.01,-0.07
4525,-0.05,-0.15,-0.06,-0.03,0.06
4703,-0.06,-0.17,-0.04,-0.01,0.02
4767,-0.05,-0.13,0.0,-0.01,0.12
4927,-0.12,-0.25,-0.25,-0.27,-0.31
4981,-0.06,-0.15,-0.04,-0.02,0.03
5103,-0.11,-0.26,0.02,0.21,-0.03
5167,-0.07,-0.21,-0.05,0.01,-0.05
5210,-0.07,-0.12,-0.03,0.05,0.03
5309,-0.05,-0.17,-0.12,0.02,-0.04
5336,-0.05,-0.13,0.07,0.01,-0.04
5577,-0.05,-0.16,0.08,-0.12,0.02
5700,-0.06,-0.13,-0.03,-0.03,0.02
5755,-0.06,-0.16,-0.01,-0.02,0.01
5826,-0.06,-0.16,-0.04,-0.0,0.02
6048,-0.05,-0.0,-0.1,-0.24,0.03
6119,-0.04,-0.3,0.02,-0.01,-0.36
6164,-0.05,-0.12,-0.09,-0.05,0.12
6217,-0.04,-0.09,-0.09,-0.05,0.22
6271,-0.06,-0.14,-0.02,0.01,0.03
6397,-0.06,-0.16,-0.04,-0.01,0.03
6468,-0.05,-0.13,-0.03,0.01,0.04
6547,-0.06,-0.18,-0.03,0.02,-0.12
6592,-0.05,-0.08,-0.18,-0.14,0.18
6627,-0.06,-0.17,-0.04,-0.0,0.03
6761,0.01,-0.04,-0.07,0.22,-0.26
6930,-0.06,-0.13,-0.03,-0.01,0.02
6976,-0.05,-0.17,-0.01,-0.03,0.01
7044,-0.06,-0.15,0.02,0.02,0.01
7099,-0.06,-0.21,-0.01,0.01,-0.05
7197,-0.06,-0.17,-0.01,0.03,0.03
7348,-0.05,-0.12,-0.1,-0.1,-0.07
7384,-0.03,-0.19,0.62,-0.65,-0.87
7446,-0.06,-0.12,-0.01,-0.05,0.03
7767,-0.07,-0.11,0.01,-0.1,-0.18
7810,-0.05,-0.12,0.02,0.01,-0.07
7865,-0.05,-0.06,-0.06,0.07,0.13
7945,-0.06,-0.16,-0.01,0.01,-0.03
8014,-0.06,-0.16,-0.03,-0.02,-0.04
8096,-0.04,0.19,-0.04,0.26,0.24
8158,-0.05,-0.15,0.06,0.03,-0.01
8229,-0.05,-0.13,-0.02,-0.01,0.09
8354,-0.05,-0.18,-0.0,0.12,-0.03
8425,-0.06,-0.17,-0.03,-0.02,-0.0
8826,-0.07,-0.27,0.06,-0.05,-0.79
9019,-0.05,-0.23,-0.01,0.01,-0.15
9026,-0.05,-0.14,-0.04,-0.04,0.06
9262,2.78,15.37,-4.89,-5.87,2.83
9280,-0.01,-0.06,-0.29,-0.17,0.6
9333,-0.03,0.14,0.1,0.25,-0.05
9360,-0.01,0.12,-0.01,-0.01,0.24
9397,0.16,0.36,0.35,-0.6,-0.25
9459,0.08,0.09,-0.08,-0.45,0.26
9495,-0.06,0.8,1.38,0.24,0.83
9538,-0.04,0.45,0.22,0.08,0.36
9574,-0.09,-1.09,0.13,1.85,-0.88
9627,0.08,0.37,-0.41,-1.41,0.19
9654,-0.07,-0.02,0.08,-0.06,0.14
9690,-0.09,-0.52,-0.27,0.3,-0.48
9743,-0.02,-0.05,-0.05,-0.1,0.19
9798,-0.06,-0.13,-0.01,-0.02,0.01
9832,-0.05,-0.13,-0.03,-0.02,0.08
9887,-0.06,-0.17,0.01,0.09,0.02
9930,-0.03,-0.06,-0.14,-0.18,0.24
10006,-0.05,-0.13,-0.06,-0.06,0.08
10051,-0.06,-0.16,-0.02,0.02,0.02
10104,-0.04,-0.08,-0.08,-0.09,0.19
10195,-0.04,-0.06,-0.06,-0.15,0.08
10239,-0.05,-0.1,-0.13,-0.1,0.18
10293,-0.05,-0.06,-0.02,0.0,0.14
