Jonctiune,Cluster 1,Cluster 2,Distanta,Frecventa
0,1.0,37.0,19.881373066264818,2.0
1,29.0,31.0,20.75277858504735,2.0
2,4.0,39.0,21.611259750417144,2.0
3,9.0,11.0,21.981203060797196,2.0
4,5.0,40.0,26.068348029746726,2.0
5,35.0,43.0,26.468639273676306,3.0
6,2.0,44.0,27.749002744843523,3.0
7,24.0,42.0,27.76948473294622,3.0
8,3.0,23.0,30.629214583465895,2.0
9,30.0,45.0,33.50433084443462,3.0
10,18.0,49.0,38.639914727735444,4.0
11,48.0,51.0,42.42100296629804,6.0
12,22.0,52.0,43.744881114251534,5.0
13,16.0,34.0,44.4750058122537,2.0
14,6.0,15.0,44.83888943762992,2.0
15,46.0,54.0,45.296772099754996,7.0
16,0.0,36.0,45.54299902290143,2.0
17,17.0,25.0,48.05855563788825,2.0
18,7.0,58.0,56.45282803663013,3.0
19,27.0,32.0,57.320858175711216,2.0
20,47.0,53.0,59.752226760924046,9.0
21,56.0,59.0,66.4640988730006,4.0
22,21.0,60.0,71.05840650596286,4.0
23,20.0,38.0,71.96199637308571,2.0
24,13.0,19.0,87.57488561225759,2.0
25,57.0,62.0,88.40132672319254,16.0
26,63.0,67.0,99.64421037019666,20.0
27,61.0,66.0,107.86419226972406,4.0
28,64.0,65.0,111.95970197873282,6.0
29,26.0,33.0,115.76653694397187,2.0
30,70.0,71.0,139.21127178171793,8.0
31,55.0,68.0,139.47041221550765,22.0
32,69.0,72.0,154.76341011497732,12.0
33,50.0,73.0,204.52839041146103,24.0
34,14.0,74.0,315.90428576887183,13.0
35,28.0,76.0,330.4990488352092,14.0
36,75.0,77.0,383.1526506068405,38.0
37,10.0,41.0,467.0943542454778,2.0
38,8.0,78.0,579.3503105079132,39.0
39,12.0,79.0,844.687216109411,3.0
40,80.0,81.0,1102.840891720864,42.0
