Factor1,Factor2,Factor3,Factor4,Factor5
0.578,0.39,0.36,0.092,0.045
0.98,0.135,0.044,0.075,0.033
0.548,0.229,0.256,0.054,0.006
0.011,0.31,-0.037,-0.057,0.003
0.82,0.122,0.026,0.206,-0.014
0.667,0.172,0.026,0.039,0.015
0.856,0.351,0.162,0.101,0.026
0.7,0.143,0.204,0.542,0.019
0.742,0.488,0.232,0.111,0.024
0.826,0.137,0.051,0.139,0.013
0.274,0.069,0.005,0.62,0.729
0.355,0.372,0.154,0.087,-0.003
0.433,0.567,0.196,0.071,0.011
0.394,0.665,-0.01,0.01,0.019
0.325,0.231,0.032,0.046,0.006
0.258,0.397,0.076,0.058,0.047
0.93,0.286,0.097,0.102,0.094
0.042,0.038,0.025,0.379,0.027
0.606,0.393,0.063,0.168,0.064
0.751,0.325,0.093,0.065,0.198
0.451,0.544,0.094,0.091,0.034
0.833,0.363,0.146,0.131,0.018
0.005,0.126,0.471,-0.068,0.031
0.433,0.686,0.25,0.176,0.007
0.211,0.717,-0.024,-0.033,0.116
0.193,0.451,0.017,0.041,-0.011
0.346,0.372,0.037,0.28,0.031
0.104,0.557,-0.004,0.268,0.031
0.392,0.334,0.543,0.02,0.016
0.208,0.429,0.092,0.012,0.005
0.544,0.596,0.143,0.049,0.035
0.832,0.305,0.258,0.205,0.035
0.833,0.26,0.105,0.079,0.027
0.242,0.645,0.523,0.294,-0.002
0.889,0.189,0.1,0.152,0.041
0.868,0.384,0.203,0.1,0.022
0.051,0.037,0.471,0.163,-0.043
0.879,0.393,0.196,0.137,0.045
0.863,0.363,0.27,0.107,0.057
0.89,0.387,0.182,0.127,0.047
0.846,0.448,0.188,0.124,0.041
0.916,0.316,0.16,0.145,0.066
0.917,0.32,0.111,0.106,0.056
0.874,0.412,0.131,0.167,0.026
0.216,0.017,0.875,-0.007,0.03
0.112,0.071,0.013,0.009,0.86
0.929,0.163,0.236,0.114,0.112
0.979,0.156,0.056,0.085,0.04
0.78,0.381,0.295,0.145,0.016
0.912,0.336,0.187,0.113,0.046
0.967,0.222,0.051,0.068,0.041
0.977,0.165,0.065,0.09,0.04
0.947,0.216,0.048,0.176,0.045
0.975,0.173,0.039,0.07,0.046
0.895,0.331,0.056,0.057,0.052
0.946,0.266,0.066,0.075,0.059
0.969,0.186,0.053,0.069,0.036
0.984,0.121,0.04,0.082,0.033
0.941,0.28,0.12,0.114,0.034
0.94,0.294,0.119,0.104,0.048
0.946,0.283,0.103,0.1,0.043
0.972,0.199,0.064,0.083,0.045
0.928,0.301,0.133,0.143,0.05
0.896,0.208,0.052,0.106,0.025
0.97,0.205,0.073,0.089,0.048
0.906,0.366,0.128,0.129,0.049
0.736,0.294,0.154,0.112,0.033
0.904,0.309,0.144,0.129,0.105
0.966,0.195,0.098,0.093,0.045
0.945,0.261,0.14,0.116,0.039
0.946,0.232,0.143,0.111,0.037
0.901,0.348,0.128,0.166,0.047
0.952,0.267,0.075,0.079,0.039
0.975,0.129,0.051,0.083,0.043
0.904,0.355,0.164,0.143,0.05
0.917,0.339,0.134,0.123,0.035
0.895,0.26,0.08,0.122,0.063
0.835,0.355,0.092,0.139,0.034
0.955,0.254,0.083,0.098,0.038
0.514,0.292,0.131,0.077,0.012
0.971,0.186,0.087,0.083,0.06
0.815,0.481,0.223,0.119,0.032
0.33,0.095,0.056,0.733,0.022
0.854,0.312,0.191,0.345,0.036
0.909,0.325,0.201,0.132,0.049
-0.054,0.249,0.08,-0.012,-0.015
0.568,0.072,0.023,0.042,0.02
0.985,0.119,0.041,0.074,0.036
